epoch,loss,val_loss
0,1.9492359161376953,1.4938063621520996
1,1.5768868923187256,1.4825960397720337
2,1.5504000186920166,1.4726409912109375
3,1.5377339124679565,1.4635286331176758
4,1.519170880317688,1.4572632312774658
5,1.5054278373718262,1.455793857574463
6,1.492806315422058,1.4684062004089355
7,1.479382038116455,1.4634228944778442
8,1.4609450101852417,1.4646433591842651
9,1.4442790746688843,1.4679524898529053
10,1.4247422218322754,1.473583459854126
11,1.411324381828308,1.4686909914016724
12,1.395955204963684,1.4711391925811768
13,1.3797274827957153,1.4837383031845093
14,1.364681363105774,1.4917395114898682
15,1.3519281148910522,1.512434482574463
16,1.3345996141433716,1.5087803602218628
17,1.3216787576675415,1.5163860321044922
18,1.3059496879577637,1.5405172109603882
19,1.2846994400024414,1.5504523515701294
