epoch,loss,val_loss
0,3.0460214614868164,1.9614213705062866
1,2.0546703338623047,1.8956422805786133
2,2.0077719688415527,1.8758811950683594
3,1.995318055152893,1.8811556100845337
4,2.0003271102905273,1.8813673257827759
5,1.9991028308868408,1.8786568641662598
6,1.9987430572509766,1.867537498474121
7,1.9969996213912964,1.8725461959838867
8,1.997502326965332,1.8679726123809814
9,1.9962198734283447,1.869349479675293
10,1.9969482421875,1.876522421836853
11,1.999988079071045,1.8647528886795044
12,1.9948375225067139,1.860750675201416
13,1.9960992336273193,1.8606445789337158
14,1.991423487663269,1.8331748247146606
15,1.7007334232330322,1.4761024713516235
16,1.5798333883285522,1.4617472887039185
17,1.5600754022598267,1.453562617301941
18,1.5402896404266357,1.4511991739273071
19,1.524598479270935,1.453589677810669
20,1.5130505561828613,1.4547401666641235
21,1.500397801399231,1.4583410024642944
22,1.4923295974731445,1.453393578529358
23,1.4822183847427368,1.4515506029129028
24,1.4674880504608154,1.4491504430770874
25,1.4502915143966675,1.4597783088684082
