epoch,loss,val_loss
0,9.885581970214844,12.671319007873535
1,10.401440620422363,9.086052894592285
2,7.120071887969971,6.454993724822998
3,5.078811168670654,5.129098892211914
4,4.137950897216797,4.90982723236084
5,4.124725818634033,4.702132701873779
6,3.680671453475952,4.301537036895752
7,3.5052287578582764,4.242578029632568
8,3.3846218585968018,4.38118314743042
9,3.2558753490448,4.201045036315918
10,3.1800599098205566,4.150020122528076
11,3.093151092529297,4.107239723205566
12,3.0449085235595703,4.144190311431885
13,3.1417124271392822,4.002699375152588
14,3.0095560550689697,3.967191457748413
