epoch,loss,val_loss
0,3.457195520401001,2.53768253326416
1,2.373417854309082,2.2494070529937744
2,2.0313849449157715,1.7121169567108154
3,1.7470476627349854,1.5634042024612427
4,1.657874584197998,1.5446090698242188
5,1.6433095932006836,1.5656734704971313
6,1.6653801202774048,1.5691792964935303
7,1.6514112949371338,1.5647296905517578
8,1.6627826690673828,1.5568515062332153
9,1.666963815689087,1.5795812606811523
10,1.6959000825881958,1.5717357397079468
11,1.678016185760498,1.5550124645233154
12,1.6805733442306519,1.574690580368042
13,1.7247507572174072,1.5304772853851318
14,1.6629726886749268,1.5459626913070679
15,1.6442675590515137,1.5205624103546143
16,1.6254156827926636,1.5151158571243286
17,1.6106122732162476,1.5189659595489502
18,1.639208436012268,1.7293998003005981
