epoch,loss,val_loss
0,2.8613853454589844,2.0363869667053223
1,2.1050989627838135,1.968761682510376
2,2.0685458183288574,1.9535585641860962
3,2.0688605308532715,1.9507453441619873
4,2.0699212551116943,1.9531623125076294
5,2.0692193508148193,1.9528478384017944
6,2.068878650665283,1.9533402919769287
7,2.066450595855713,1.9515162706375122
8,2.0656583309173584,1.9509692192077637
9,2.063335418701172,1.9486966133117676
10,2.0626742839813232,1.9482530355453491
11,2.0604679584503174,1.9459713697433472
12,2.0600156784057617,1.9454537630081177
13,2.0580430030822754,1.9432237148284912
14,2.0577969551086426,1.942773699760437
15,2.0559921264648438,1.940596103668213
16,2.0558297634124756,1.9401500225067139
17,2.0542266368865967,1.9381247758865356
18,2.054109573364258,1.9378265142440796
19,2.0527455806732178,1.935983657836914
20,2.0526840686798096,1.935805082321167
21,2.0515434741973877,1.9341251850128174
22,2.0515222549438477,1.9340541362762451
23,2.050563335418701,1.9324601888656616
24,2.0505685806274414,1.932427167892456
25,2.0497498512268066,1.9309250116348267
26,2.049744129180908,1.9309746026992798
27,2.0490448474884033,1.9295644760131836
28,2.049027442932129,1.9296866655349731
29,2.048440456390381,1.9283517599105835
30,2.048408269882202,1.9285435676574707
31,2.047908067703247,1.9272857904434204
32,2.047861337661743,1.9275383949279785
33,2.047434091567993,1.9263439178466797
34,2.0473766326904297,1.926647424697876
35,2.0470130443573,1.9255115985870361
36,2.0469443798065186,1.925843358039856
37,2.046626329421997,1.9247628450393677
38,2.0465409755706787,1.925119400024414
39,2.0462634563446045,1.924074411392212
40,2.046170473098755,1.924463152885437
41,2.0459182262420654,1.9234586954116821
42,2.045825958251953,1.9238660335540771
43,2.0455994606018066,1.9228801727294922
44,2.0454931259155273,1.9232889413833618
45,2.0452871322631836,1.9223253726959229
46,2.045175313949585,1.9227559566497803
47,2.044973373413086,1.9218084812164307
48,2.044853687286377,1.9222540855407715
49,2.044670820236206,1.9213234186172485
50,2.044539213180542,1.9217777252197266
51,2.0443711280822754,1.9208569526672363
52,2.044234275817871,1.9213247299194336
53,2.0440807342529297,1.9204075336456299
54,2.043930768966675,1.9208778142929077
55,2.043792247772217,1.9199715852737427
56,2.0434699058532715,1.919559121131897
57,2.044179916381836,1.9234559535980225
58,2.05000901222229,1.9227068424224854
59,2.0517399311065674,1.918605923652649
60,1.8451400995254517,1.571482539176941
61,1.676124930381775,1.5471607446670532
62,1.6550997495651245,1.5411096811294556
63,1.6410428285598755,1.5307897329330444
64,1.6338846683502197,1.5271704196929932
65,1.624172329902649,1.524436354637146
66,1.616538405418396,1.523833990097046
67,1.6078636646270752,1.5203022956848145
68,1.6041804552078247,1.5189985036849976
69,1.6007112264633179,1.5214611291885376
70,1.5934056043624878,1.522914171218872
71,1.5879358053207397,1.5211251974105835
72,1.5811232328414917,1.5217432975769043
73,1.5760750770568848,1.5234324932098389
74,1.5698003768920898,1.5246248245239258
75,1.5658951997756958,1.5267102718353271
76,1.5628337860107422,1.5284080505371094
77,1.5563018321990967,1.5275020599365234
78,1.5483812093734741,1.529554843902588
79,1.5425608158111572,1.524688482284546
80,1.5385301113128662,1.5286606550216675
81,1.5339844226837158,1.5348098278045654
