epoch,loss,val_loss
0,2.8547887802124023,2.0418198108673096
1,2.108254909515381,1.9716081619262695
2,2.074645519256592,1.9583957195281982
3,2.0755672454833984,1.9577651023864746
4,2.076801300048828,1.9612795114517212
5,2.0752856731414795,1.9602339267730713
6,2.0745840072631836,1.9599637985229492
7,2.0710318088531494,1.9566646814346313
8,2.070042133331299,1.9550566673278809
9,2.066758871078491,1.951719045639038
10,2.06618595123291,1.950195074081421
11,2.063419818878174,1.947147011756897
12,2.063295841217041,1.9460158348083496
13,2.0611166954040527,1.9436196088790894
14,2.061333417892456,1.9428905248641968
15,2.0596182346343994,1.9407199621200562
16,2.0598297119140625,1.9401767253875732
17,2.058379650115967,1.9383671283721924
18,2.058655261993408,1.9380824565887451
19,2.0575010776519775,1.936496376991272
20,2.0578012466430664,1.9363805055618286
21,2.056863307952881,1.9349212646484375
22,2.057168483734131,1.9349523782730103
23,2.056366205215454,1.933639407157898
24,2.056635618209839,1.933783769607544
25,2.0559511184692383,1.9325604438781738
26,2.056175708770752,1.9327987432479858
27,2.05558180809021,1.9316588640213013
28,2.0602030754089355,1.9317398071289062
29,2.0551066398620605,1.9292850494384766
30,2.0553839206695557,1.9302529096603394
31,2.05497670173645,1.928887128829956
32,2.055104970932007,1.9294722080230713
33,2.0546820163726807,1.928333044052124
34,2.054791212081909,1.9288761615753174
35,2.0543577671051025,1.92782461643219
36,2.0544846057891846,1.9283506870269775
37,2.0540454387664795,1.9272867441177368
38,2.054161548614502,1.9277706146240234
39,2.0537221431732178,1.926747441291809
40,2.053837537765503,1.9272516965866089
41,2.053396463394165,1.926266074180603
42,2.053521156311035,1.926784873008728
43,2.053082227706909,1.9258251190185547
44,2.053213357925415,1.9263410568237305
45,2.0527727603912354,1.9254059791564941
